"","sample_id","species","leaf_position","light_condition","light_value","canopy_cover","stomata_count1","stomata_count2","area_number","sample_number","stomata_avg"
"1","1a","H. helix","med","high",44.5,20,43,37,"1",1,40
"2","1b","R. armeniacus","med","high",44.5,20,NA,NA,"1",2,NA
"3","2a","H. helix","low","high",50,30,33,29,"2",3,31
"4","2b","R. armeniacus","low","high",50,30,32,NA,"2",4,32
"5","3a","H. helix","low","high",40,45,37,37,"3",5,37
"6","3b","R. armeniacus","low","high",40,45,19,23,"3",6,21
"7","4","R. armeniacus","low","high",39,15,34,NA,"4",7,34
"8","5","H. helix","low","high",40,5,33,50,"5",8,41.5
"9","6a","H. helix","low","high",40,50,34,33,"6",9,33.5
"10","6b","R. armeniacus","low","high",40,50,17,21,"6",10,19
"11","7a","H. helix","low","high",33,70,23,15,"7",11,19
"12","7b","R. armeniacus","low","high",33,70,16,14,"7",12,15
"13","8a","H. helix","med","high",33,75,36,36,"8",13,36
"14","8b","R. armeniacus","med","high",33,75,16,15,"8",14,15.5
"15","9a","H. helix","low","high",40,40,24,23,"9",15,23.5
"16","9b","R. armeniacus","med","high",40,40,20,20,"9",16,20
"17","10","H. helix","low","low",4.5,90,26,30,"1",17,28
"18","11b","R. armeniacus","low","low",5,90,27,21,"1",18,24
"19","11a","H. helix","low","low",5,90,28,35,"1",19,31.5
"20","12b","R. armeniacus","low","low",7,90,25,20,"1",20,22.5
"21","12a","H. helix","low","low",7,90,36,28,"1",21,32
"22","13","H. helix","low","low",2,95,29,34,"1",22,31.5
"23","14","R. armeniacus","low","low",6.7,90,NA,NA,"1",23,NA
"24","15a","H. helix","med","low",13.5,70,31,32,"1",24,31.5
"25","15b","R. armeniacus","med","low",13.5,70,NA,NA,"1",25,NA
"26","16a","H. helix","low","low",4,80,30,36,"1",26,33
"27","16b","R. armeniacus","low","low",4,80,29,41,"1",27,35
"28","17a","H. helix","low","low",5,70,NA,NA,"1",28,NA
"29","17b","R. armeniacus","low","low",5,70,30,35,"1",29,32.5
"30","18","R. armeniacus","low","low",18.1,60,26,34,"1",30,30
"31","19","R. armeniacus","low","low",20,65,NA,NA,"1",31,NA
"32","20","H. helix","low","low",3,80,27,26,"2",32,26.5
